,Company Name,Ratings,Description,Comparison,Reviews,Salary,Interviews,Jobs,Benefits
64,Delhivery,3.8,Logistics | Gurgaon / Gurugram +746 other locations,Critically Rated For Promotions / Appraisal,7.6k Reviews,21.2k Salaries,592 Interviews,159 Jobs,656 Benefits
65,ICICI Prudential Life Insurance,4.0,Insurance | Mumbai +504 other locations,"Highly Rated For Job Security, Salary & Benefits, Skill Development / Learning",7.6k Reviews,23k Salaries,464 Interviews,231 Jobs,625 Benefits
66,JPMorgan Chase & Co.,3.8,Financial Services | Bangalore / Bengaluru +55 other locations,"Highly Rated For Job Security, Salary & Benefits  Critically Rated For Promotions / Appraisal",7.5k Reviews,84.1k Salaries,844 Interviews,711 Jobs,844 Benefits
67,HGS,3.8,BPO | Bangalore / Bengaluru +121 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",7.5k Reviews,20.8k Salaries,268 Interviews,15 Jobs,968 Benefits
68,JSW Steel,3.9,Iron & Steel | Ballari +195 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",7.5k Reviews,30.2k Salaries,776 Interviews,88 Jobs,600 Benefits
69,Jana Small Finance Bank,3.8,Banking | Bangalore / Bengaluru +418 other locations,Highly Rated For Salary & Benefits  Critically Rated For Promotions / Appraisal,7.5k Reviews,14.2k Salaries,300 Interviews,48 Jobs,623 Benefits
70,Sun Pharmaceutical Industries,4.1,Pharma | Vadodara +263 other locations,"Highly Rated For Salary & Benefits, Job Security, Skill Development / Learning",7.4k Reviews,23.4k Salaries,637 Interviews,371 Jobs,594 Benefits
71,Amazon Development Centre India,3.8,Internet | Hyderabad / Secunderabad +146 other locations,"Highly Rated For Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",7.4k Reviews,38.2k Salaries,864 Interviews,10 Jobs,20 Benefits
72,Hexaware Technologies,3.4,IT Services & Consulting | Chennai +66 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",7.4k Reviews,52.9k Salaries,808 Interviews,692 Jobs,547 Benefits
73,Ujjivan Small Finance Bank,4.0,Banking | Bangalore / Bengaluru +529 other locations,"Highly Rated For Company Culture, Work Life Balance, Job Security",7.3k Reviews,13.1k Salaries,305 Interviews,163 Jobs,579 Benefits
74,Lupin,4.1,Pharma | Pune +203 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",7.2k Reviews,22.5k Salaries,430 Interviews,47 Jobs,764 Benefits
75,Zydus Lifesciences,3.9,Pharma | Ahmedabad +175 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning",7.2k Reviews,19.8k Salaries,405 Interviews,22 Jobs,605 Benefits
76,L&T Construction,4.0,Engineering & Construction | Chennai +428 other locations,"Highly Rated For Job Security, Skill Development / Learning, Salary & Benefits  Critically Rated For Work Life Balance, Promotions / Appraisal",7.2k Reviews,19k Salaries,916 Interviews,-- Jobs,780 Benefits
77,Hindustan Unilever,4.2,FMCG | Mumbai +529 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",7.1k Reviews,19.9k Salaries,450 Interviews,22 Jobs,704 Benefits
78,Ekart Logistics,3.9,Logistics | Bangalore / Bengaluru +737 other locations,Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal,7.1k Reviews,16k Salaries,397 Interviews,-- Jobs,422 Benefits
79,KPMG India,3.4,Management Consulting | Bangalore / Bengaluru +111 other locations,"Critically Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction",7k Reviews,64.7k Salaries,909 Interviews,61 Jobs,749 Benefits
80,ITC,3.9,FMCG | Bangalore / Bengaluru +374 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",7k Reviews,24k Salaries,668 Interviews,81 Jobs,638 Benefits
81,Axis Max Life Insurance,4.0,Insurance | New Delhi +494 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance",6.9k Reviews,19.9k Salaries,392 Interviews,166 Jobs,495 Benefits
82,Megha Engineering & Infrastructures,3.9,Engineering & Construction | Hyderabad / Secunderabad +406 other locations,Critically Rated For Promotions / Appraisal,6.7k Reviews,18.2k Salaries,548 Interviews,27 Jobs,539 Benefits
